标题,薪资,地点,经验,学历,岗位标签,岗位福利,公司名称,所属行业,融资情况,公司规模,公司规模1,SQL,PYTHON,R,EXCEL,SAS,HIVE,SPSS,PPT,BI,HADOOP,TABLEAU,SPARK,MYSQL,JAVA,ORACLE,LINUX,OFFICE,MATLAB,SVM,ERP,SCALA,PANDAS,NLP,TENSORFLOW,INSIGHTS,POWERBI,MONGODB,GEKKO,HBASE
数据分析师,15k-20k,北京 ,经验3-5年 ,本科及以上 ,"广告营销,移动互联网,数据分析,SQL","六险一金,带薪年假,全薪病假,办公环境棒",爱卡汽车,"移动互联网,社交",不需要融资,500-2000人,500-2000人,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,10k-15k,北京 ,经验应届毕业生 ,本科及以上 ,数据分析,"福利补贴,弹性工作",百融云创,金融,C轮,国家主权基金领投、红衫资本增持(C轮),,F,T,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,15k-30k,北京 ,经验不限 ,本科及以上 ,"大数据,金融,数据分析","五险一金,弹性工作,工作居住证,商业医疗",PINTEC,"移动互联网,金融",上市公司,150-500人,150-500人,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师-风控,15k-25k,北京 ,经验1-3年 ,本科及以上 ,"可视化,数据分析,商业,SQL",发展空间大,凡普金科,金融,不需要融资,高榕资本(A轮),,T,T,T,T,T,F,T,F,F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,20k-35k,北京 ,经验1-3年 ,本科及以上 ,"大数据,数据挖掘","大牛如云,飞速发展,海量数据,海量数据",数美,"企业服务,数据服务",B轮,数美科技获1000万美元A轮融资，顺为资本、清流资本、百度风投、360投资(A轮),,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,20k-35k,北京 ,经验3-5年 ,本科及以上 ,"数据分析,SQL,数据库","地铁周边,节日福利,年终奖金,晋升空间",百乘金科集团,金融,上市公司,2000人以上,2000人以上,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,10k-15k,北京 ,经验1-3年 ,本科及以上 ,"社交,移动互联网,数据分析,策略,用户研究",晋升明确 五险一金 晚餐房补 氛围好,波场TRON,"移动互联网,金融",不需要融资,150-500人,150-500人,T,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,10k-15k,北京 ,经验3-5年 ,本科及以上 ,"医疗健康,大数据","广阔的发展,创业公司,融洽的办公",无极慧通,"医疗丨健康,数据服务",A轮,50-150人,50-150人,T,T,T,F,T,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,15k-25k,北京 ,经验1-3年 ,本科及以上 ,"金融,移动互联网,SPSS,数据分析,SQL,商业",六险一金，免费班车，补助，年终奖，健身房,猎豹移动,"移动互联网,信息安全",上市公司,500-2000人,500-2000人,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师（零售行业）,20k-35k,北京 ,经验5-10年 ,本科及以上 ,"新零售,数据分析","BAT大拿,资金雄厚,弹性工作",高济医疗,"医疗丨健康,数据服务",不需要融资,150-500人,150-500人,F,T,T,F,F,T,F,F,F,F,F,T,F,T,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F
数据分析,12k-24k,北京 ,经验3-5年 ,本科及以上 ,"教育,数据分析,SQL",晋升空间大，培训完善，公司逗比多,悠贝 | YOURBAY,"教育,文娱丨内容",不需要融资,50-150人,50-150人,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师（业务分析）-【商...,20k-40k,北京 ,经验3-5年 ,本科及以上 ,数据分析,扁平化管理,快手,文娱丨内容,D轮及以上,2000人以上,2000人以上,F,F,F,T,T,F,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师（广告投放）,12k-18k,北京 ,经验3-5年 ,本科及以上 ,移动互联网,"六险一金,上市公司,发展空间大",掌阅,文娱丨内容,上市公司,500-2000人,500-2000人,T,T,T,T,T,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析经理,15k-30k,北京 ,经验5-10年 ,本科及以上 ,"大数据,数据分析,SPSS","绩效奖金,年底双薪,餐补,房补",自如网,房产家居,A轮,2000人以上,2000人以上,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,10k-18k,北京 ,经验3-5年 ,本科及以上 ,"互联网金融,MySQL",福利待遇好、团队气氛好、上升空间大,花生米富,"移动互联网,金融",B轮,梅花创投(天使轮)，戈壁创投等(天使轮),,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,15k-30k,北京 ,经验1-3年 ,本科及以上 ,"数据分析,数据运营",六险一金，福利健全，平台发展前景好,妙健康,移动互联网,C轮,江中中医药基金(B轮)，中信资本、农银无锡基金(B轮)，阳光保险-融汇资本(A轮),,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,15k-25k,北京 ,经验1-3年 ,本科及以上 ,"数据分析,SQL,商业,数据库","免费三餐,免费健身房",金山办公软件,移动互联网,上市公司,2000人以上,2000人以上,T,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师（旅行家）,15k-25k,北京 ,经验5-10年 ,本科及以上 ,移动互联网,上市公司,汽车之家,汽车丨出行,上市公司,2000人以上,2000人以上,T,T,T,T,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师（旅行家）,15k-25k,北京 ,经验5-10年 ,本科及以上 ,移动互联网,上市公司,汽车之家,汽车丨出行,上市公司,2000人以上,2000人以上,T,T,T,T,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,20k-35k,北京 ,经验5-10年 ,学历不限 ,"数据分析,BI,增长黑客",互联网大数据领先品牌 六险一金 弹性工作,易观,"移动互联网,数据服务",B轮,150-500人,150-500人,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析员,5k-7k,北京 ,经验1年以下 ,本科及以上 ,"电商,新零售,数据仓库,数据分析,数据处理","上市公司,六险一金,年度旅游,年度体检",久爱致和,电商,上市公司,150-500人,150-500人,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,15k-25k,北京 ,经验不限 ,本科及以上 ,"移动互联网,数据分析",舒适工作环境 诱惑薪酬福利 良好文化氛围,酷划在线,移动互联网,不需要融资,SIG、启明(B轮),,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
