地点,标题,岗位标签,岗位福利,公司规模,公司名称,经验,融资情况,薪资,学历,所属行业
深圳,数据分析师-HK,"大数据,金融,数据分析",六险一金;弹性办公;福利满满;风口行业,,联易融linklogis,经验3-5年,C轮,25k-30k,本科及以上,"移动互联网,金融"
深圳,数据分析师-初级,"新零售,数据分析,商业","外企, 个人成长，领导nice",150-500人,乐格信息,经验1-3年,A轮,4k-5k,大专及以上,"企业服务,数据服务"
深圳,数据分析师-创新工具,数据挖掘,六险一金，弹性工作，免费三餐，租房补贴,2000人以上,字节跳动,经验1-3年,C轮,20k-40k,本科及以上,文娱丨内容
深圳,数据分析师-深圳,"大数据,商业,BI,可视化,数据分析","五险一金,午餐补助,补充医疗,14薪",,神策数据,经验3-5年,C轮,15k-25k,本科及以上,数据服务
深圳,数据分析师-信贷业务,数据分析,六险一金，扁平管理，快速成长，大神助力,150-500人,腾梭科技,经验1-3年,A轮,13k-20k,硕士及以上,"金融,人工智能"
深圳,数据分析师助理,大数据,大数据人工智能；名校系大牛；技术氛围浓,50-150人,一面数据,经验不限,A轮,5k-8k,本科及以上,"移动互联网,数据服务"
深圳,数据分析实习生,"Hadoop,NLP,Redis,MongoDB",初创企业,,九章天璇,经验不限,未融资,1k-2k,本科及以上,"金融,数据服务"
深圳,数据分析实习生,"Hadoop,算法,数据架构","周末双休,团队奖,前腾讯团队,绩效奖",,利讯金服,经验不限,A轮,3k-6k,本科及以上,金融
深圳,数据分析实习生,大数据,"成长空间大,大牛云集,海景办公室,包午餐",,码隆科技,经验应届毕业生,B轮,4k-6k,本科及以上,移动互联网
深圳,数据分析实习生,"大数据,数据挖掘,数据分析","转正机会,发展空间大,领导好",50-150人,深圳白骑士大数据有限公司,经验应届毕业生,A轮,4k-6k,本科及以上,"企业服务,金融"
深圳,数据分析实习生,分析师,数据分析,,随手科技,经验不限,C轮,3k-4k,大专及以上,金融
深圳,数据分析实习生,"数据仓库,数据分析,数据压缩,MongoDB",早九晚六 五险一金 周末双休,50-150人,恒实网络,经验不限,未融资,4k-7k,大专及以上,移动互联网
深圳,数据分析实习生,数据分析,上市公司、牛人多、氛围好、,500-2000人,Gridsum 国双,经验应届毕业生,上市公司,2k-4k,本科及以上,"数据服务,企业服务"
深圳,数据分析实习生-用户增长方向,数据分析,免费三餐，租房补贴，休闲下午茶，扁平管理,2000人以上,字节跳动,经验不限,C轮,2k-4k,本科及以上,文娱丨内容
深圳,数据分析与挖掘岗,"保险,大数据,Java,数据挖掘,数据处理",丰厚的年终奖,2000人以上,平安产险,经验3-5年,上市公司,15k-25k,本科及以上,金融
深圳,数据分析员,"游戏,数据运营,数据分析,SPSS,DBA",五险一金 带薪培训 免费体检,500-2000人,路通网络,经验1-3年,不需要融资,10k-15k,本科及以上,"移动互联网,游戏"
深圳,数据分析运营经理,"互联网金融,运营,产品运营,数据分析","福利待遇好,奖金丰厚,千万级用户",500-2000人,招联金融,经验3-5年,不需要融资,15k-28k,本科及以上,金融
深圳,数据分析中级经理,数据分析,"金融,科技",2000人以上,招商证券信息技术中心,经验1-3年,上市公司,20k-35k,本科及以上,"企业服务,其他"
深圳,数据分析主管,"MySQL,数据分析",五险一金、周末双休、带薪年假,150-500人,深圳市盛达瑞智能科技有限公司,经验3-5年,不需要融资,15k-25k,本科及以上,"移动互联网,区块链"
深圳,数据分析主管,"广告营销,SQL,数据分析,数据库","五险一金,奖金丰厚,福利多多,定期体检",,极光,经验3-5年,上市公司,25k-35k,本科及以上,企业服务
深圳,数据分析主管,"互联网金融,风控,策略设计,分析师",弹性上班 多多年假 领导nice,500-2000人,即有分期,经验1-3年,D轮及以上,12k-20k,本科及以上,金融
深圳,数据分析主管,"移动互联网,数据分析",扁平化管理、福利完善、氛围活跃,150-500人,魅动力,经验3-5年,C轮,15k-20k,本科及以上,移动互联网
深圳,数据分析助理,MySQL,扁平管理,2000人以上,OPPO,经验1-3年,不需要融资,6k-12k,本科及以上,硬件
深圳,数据分析助理,"电商,数据分析",五险一金 员工福利,,光速生长,经验1年以下,不需要融资,4k-7k,学历不限,"电商,文娱丨内容"
