城市名称,标题,地点,岗位标签,岗位福利,公司规模,公司名称,融资情况,经验,所属行业,薪资,学历
北京,智能语音-数据挖掘研究员,北京,"大数据,数据挖掘,数据分析",战略级项目、前沿的研发团队,2000人以上,搜狗,上市公司,经验3-5年,工具,20k-40k,本科及以上
北京,资深安全数据挖掘工程师,北京,数据挖掘,六险一金，弹性工作，免费三餐，租房补贴,2000人以上,字节跳动,C轮,经验不限,文娱丨内容,40k-60k,本科及以上
北京,资深数据挖掘工程师,北京,"大数据,金融,数据挖掘","海量数据,待遇给力,顶尖团队",,数美,B轮,经验3-5年,"企业服务,数据服务",30k-60k,本科及以上
北京,资深数据挖掘工程师,北京,"广告营销,Hadoop,算法,数据挖掘",交通便利 福利多多 牛人带队 扁平管理,150-500人,佰策科技,A轮,经验5-10年,"移动互联网,广告营销",35k-70k,本科及以上
北京,资深数据挖掘工程师,北京,数据挖掘,弹性工作，免费三餐，租房补贴，休闲下午茶,2000人以上,字节跳动,C轮,经验3-5年,文娱丨内容,30k-60k,本科及以上
北京,资深数据挖掘工程师,北京,数据挖掘,"免费三餐,六险两金,行业翘首,大牛云集",2000人以上,贝壳,D轮及以上,经验3-5年,房产家居,25k-50k,本科及以上
北京,资深数据挖掘工程师,北京,"移动互联网,数据挖掘,Hive,Hadoop",12天年假、六险一金,2000人以上,爱奇艺,上市公司,经验5-10年,文娱丨内容,25k-40k,本科及以上
北京,资深数据挖掘工程师Leader,北京,"数据挖掘,NLP,数据架构","AI,年轻无极限,工程师文化,领导nic",顶级VC投资机构(A轮),艾耕科技,A轮,经验3-5年,"移动互联网,数据服务",25k-50k,硕士及以上
北京,资深数据挖掘工程师Leader...,北京,"人工智能,数据挖掘,算法","弹性工作,零食水果,大牛团队,五险一金",顶级VC投资机构(A轮),艾耕科技,A轮,经验3-5年,"移动互联网,数据服务",25k-50k,硕士及以上
北京,资深数据挖掘工程师专家...,北京,"搜索,机器学习,推荐,算法",发展前景、技术成长、福利待遇,2000人以上,滴滴,不需要融资,经验3-5年,汽车丨出行,30k-60k,本科及以上
北京,资深数据挖掘专家,北京,"Spark,Hadoop,数据架构,数据挖掘","成长快,大平台",2000人以上,360,上市公司,经验5-10年,信息安全,30k-60k,本科及以上
北京,自动驾驶数据挖掘专家-无人车,北京,数据挖掘,技术大牛,2000人以上,美团点评,上市公司,经验5-10年,消费生活,35k-65k,博士及以上
北京,自然语言处理 \机器学习\数...,北京,"医疗健康,NLP,算法,搜索","技术大牛,15.5薪,七险一金",保密(天使轮),北京左医科技有限公司,A轮,经验3-5年,"移动互联网,医疗丨健康",25k-35k,本科及以上
成都,大数据开发工程师专家 （数...,成都,"搜索,算法,数据挖掘,数据分析",AI平台、大数据平台、中大型互联网公司,2000人以上,咪咕,不需要融资,经验5-10年,"移动互联网,文娱丨内容",25k-35k,本科及以上
成都,大数据挖掘工程师,成都,"数据挖掘,算法,Hadoop","五险一金,团聚,欢乐,学习",50-150人,海康交通大数据,不需要融资,经验3-5年,"移动互联网,数据服务",17k-25k,本科及以上
成都,高级大数据挖掘工程师,成都,"大数据,移动互联网",五险一金+绩效奖金+优厚福利+发展空间,150-500人,生学教育,A轮,经验3-5年,"移动互联网,教育",15K-25K,学历不限
